Long,Lat,SAMPLE_1
72.12,24.84,"197"
72.12,24.96,"123"
72.12,25.08,"96"
72.12,25.2,"83"
72.12,25.32,"88"
72.12,25.44,"114"
72.12,25.56,"110"
72.12,25.68,"121"
72.12,25.8,"140"
72.12,25.92,"115"
72.12,26.04,"161"
72.12,26.16,"173"
72.12,26.28,"218"
72.12,26.4,"222"
72.12,26.52,"240"
72.12,26.64,"250"
72.12,26.76,"262"
72.12,26.88,"257"
72.12,27,"239"
72.12,27.12,"240"
72.12,27.24,"249"
72.12,27.36,"224"
72.12,27.48,"189"
72.12,27.6,"167"
72.12,27.72,"173"
72.12,27.84,"152"
72.12,27.96,"136"
72.12,28.08,"123"
72.12,28.2,"124"
72.24,21.48,"23"
72.24,21.6,"32"
72.24,21.72,"5"
72.24,21.84,"3"
72.24,22.08,"3"
72.24,22.2,"6"
72.24,22.32,"9"
72.24,22.44,"8"
72.24,22.56,"10"
72.24,22.68,"11"
72.24,22.8,"14"
72.24,22.92,"19"
72.24,23.04,"32"
72.24,23.16,"39"
72.24,23.28,"49"
72.24,23.4,"60"
72.24,23.52,"61"
72.24,23.64,"71"
72.24,23.76,"85"
72.24,23.88,"102"
72.24,24,"110"
72.24,24.12,"132"
72.24,24.24,"151"
