Longitude,Latitude
72.96,26.04
72.96,26.16
72.96,26.28
72.96,26.4
72.96,26.52
72.96,26.64
72.96,26.76
72.96,26.88
72.96,27
72.96,27.12
72.96,27.24
72.96,27.36
72.96,27.48
72.96,27.6
72.96,27.72
72.96,27.84
72.96,27.96
72.96,28.08
72.96,28.2
72.96,28.32
72.96,28.44
72.96,28.56
72.96,28.68
72.96,28.8
72.96,28.92
72.96,29.04
72.96,36
72.96,36.12
72.96,36.24
72.96,36.36
73.08,17.88
73.08,18
73.08,18.12
73.08,18.24
73.08,18.36
73.08,18.48
73.08,18.6
73.08,18.72
73.08,18.84
73.08,18.96
73.08,19.08
73.08,19.2
73.08,19.32
73.08,19.44
73.08,19.56
73.08,19.68
73.08,19.8
73.08,19.92
73.08,20.04
73.08,20.16
73.08,20.28
73.08,20.4
73.08,20.52
73.08,20.64
73.08,20.76
73.08,20.88
73.08,21
73.08,21.12
73.08,21.24
73.08,21.36
73.08,21.48
73.08,21.6
73.08,21.72
73.08,21.84
73.08,21.96
73.08,22.08
73.08,22.2
73.08,22.32
73.08,22.44
73.08,22.56
73.08,22.68
73.08,22.8
73.08,22.92
73.08,23.04
73.08,23.16
73.08,23.28
73.08,23.4
73.08,23.52
73.08,23.64
73.08,23.76
73.08,23.88
73.08,24
73.08,24.12
73.08,24.24
73.08,24.36
73.08,24.48
73.08,24.6
73.08,24.72
73.08,24.84
73.08,24.96
73.08,25.08
73.08,25.2
73.08,25.32
73.08,25.44
73.08,25.56
73.08,25.68
73.08,25.8
73.08,25.92
73.08,26.04
73.08,26.16
73.08,26.28
73.08,26.4
73.08,26.52
73.08,26.64
73.08,26.76
73.08,26.88
73.08,27
73.08,27.12
73.08,27.24
73.08,27.36
73.08,27.48
73.08,27.6
73.08,27.72
73.08,27.84
73.08,27.96
73.08,28.08
73.08,28.2
73.08,28.32
73.08,28.44
73.08,28.56
73.08,28.68
73.08,28.8
73.08,28.92
73.08,29.04
73.08,29.16
73.08,35.88
73.08,36
73.08,36.12
73.08,36.24
73.08,36.36
73.08,36.48
73.2,17.4
73.2,17.52
73.2,17.64
73.2,17.76
73.2,17.88
73.2,18
73.2,18.12
73.2,18.24
73.2,18.36
73.2,18.48
73.2,18.6
73.2,18.72
73.2,18.84
73.2,18.96
73.2,19.08
73.2,19.2
73.2,19.32
73.2,19.44
73.2,19.56
73.2,19.68
73.2,19.8
73.2,19.92
73.2,20.04
73.2,20.16
73.2,20.28
73.2,20.4
73.2,20.52
73.2,20.64
73.2,20.76
73.2,20.88
73.2,21
73.2,21.12
73.2,21.24
73.2,21.36
73.2,21.48
73.2,21.6
73.2,21.72
73.2,21.84
